1.1,2.1,3.1,4.1,3.2,5.1,1.2,4.2,3.1,6.1,4.2,1.1,1.1,6.2,1.2,3.2,3.2,6.1,1.1,1.2,3.1,3.2,6.2,6.1,7.1,7.2,4.1,4.2,5.1,5.2,2.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0
1.1,2.1,2.2,3.1,4.1,5.1,3.2,3.1,2.1,6.1,2.2,2.1,1.2,1.1,5.1,5.2,4.2,4.1,6.2,6.1,7.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,18,0
1.1,2.1,3.1,4.1,3.2,3.1,1.2,4.2,4.1,4.2,1.2,1.1,5.1,6.1,2.2,5.2,5.1,5.2,2.1,2.2,6.1,7.1,6.2,6.1,7.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,14,0
1.1,2.1,3.1,3.2,4.1,5.1,6.1,6.2,7.1,2.2,2.1,2.2,4.2,4.1,1.2,1.1,7.1,5.1,5.2,5.1,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,18,0
1.1,2.1,3.1,4.1,5.1,6.1,3.2,1.2,3.2,1.1,6.2,1.1,6.2,3.1,1.2,3.1,1.2,1.1,3.2,3.1,6.1,6.2,2.2,2.1,4.2,4.1,7.1,7.2,5.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,10,0
1.1,1.2,2.1,3.1,4.1,4.2,5.1,3.2,3.2,3.1,6.1,5.1,5.2,5.1,2.2,2.1,6.1,7.1,7.2,7.1,6.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,18,0
1.1,2.1,2.2,3.1,4.1,2.1,5.1,6.1,2.2,6.2,7.1,2.2,6.2,5.2,2.2,5.1,5.2,6.1,5.2,5.1,6.2,6.1,2.1,2.2,1.2,1.1,7.2,7.1,3.1,4.2,4.1,4.2,3.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,6,0
1.1,2.1,3.1,4.1,5.1,6.1,7.1,1.1,2.2,3.2,2.1,3.1,3.2,2.2,2.1,2.2,3.1,3.2,7.2,6.2,7.1,6.2,7.2,7.1,6.1,6.2,1.2,1.1,5.2,5.1,4.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,8,0
1.1,2.1,3.1,2.2,3.2,3.1,2.2,4.1,2.2,5.1,6.1,7.1,7.2,7.1,2.1,2.2,1.2,6.2,6.1,6.2,1.2,1.1,5.2,5.1,4.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,14,0
1.1,2.1,3.1,4.1,5.1,6.1,2.2,7.1,2.1,2.2,1.2,1.1,4.2,4.1,5.2,3.2,5.1,5.2,3.2,3.1,7.2,7.1,6.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,16,0
1.1,2.1,3.1,1.2,1.1,1.2,4.1,4.2,2.2,2.1,5.1,6.1,3.1,5.2,5.2,5.1,6.2,6.1,7.1,7.2,3.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,18,0
1.1,2.1,3.1,4.1,1.2,5.1,3.2,2.2,1.2,3.2,1.1,3.1,3.1,3.2,1.2,2.1,1.1,1.2,2.1,2.2,6.1,4.2,4.1,4.2,5.1,7.1,5.2,5.1,6.2,6.1,7.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0
1.1,2.1,3.1,4.1,5.1,1.2,3.2,3.1,1.1,6.1,1.2,1.1,6.2,6.1,5.2,4.2,5.2,4.1,4.2,4.1,5.1,5.2,7.1,2.2,2.2,2.1,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,12,0
1.1,2.1,3.1,4.1,5.1,6.1,2.1,3.2,7.1,6.2,3.2,1.2,6.2,6.1,1.2,3.1,3.1,1.1,1.2,1.1,5.1,3.2,3.1,3.2,2.2,2.1,4.2,4.1,7.2,7.1,5.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0
1.1,2.1,3.1,4.1,5.1,6.1,3.2,5.2,5.1,2.2,7.1,3.1,3.1,5.1,2.2,2.1,5.2,5.1,3.1,4.2,7.2,4.1,4.1,7.1,7.2,7.1,3.2,3.1,4.2,4.1,6.2,6.1,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,6,0
1.1,2.1,3.1,4.1,3.2,3.1,2.1,5.1,6.1,7.1,2.2,2.1,7.2,7.1,6.2,6.1,1.2,1.1,4.1,5.2,5.1,5.2,4.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,4.1,5.1,6.1,4.2,4.1,7.1,3.2,1.2,5.2,3.1,3.2,5.1,5.2,6.1,7.2,1.2,7.2,1.1,1.2,7.1,7.2,2.2,2.1,6.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,12,0
1.1,2.1,2.2,2.1,3.1,4.1,5.1,3.2,6.1,1.2,1.2,4.2,4.2,1.1,3.1,3.2,1.1,1.2,4.2,7.1,7.2,7.1,4.1,4.2,6.2,6.1,5.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,12,0
1.1,2.1,3.1,1.2,1.2,4.1,3.2,5.1,1.2,1.1,5.2,5.1,3.1,3.2,6.1,7.1,4.1,4.2,6.2,6.1,2.2,2.1,7.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,4.1,5.1,3.2,3.2,1.2,2.2,1.2,3.2,6.1,2.2,1.1,2.1,3.1,1.2,2.2,2.1,2.2,3.2,1.1,1.2,1.1,3.1,3.2,7.1,6.2,6.2,5.2,5.1,5.2,6.2,6.1,4.2,4.1,7.2,7.1,0.0,0.0,0,0,5,2,0
1.1,2.1,3.1,4.1,5.1,5.2,4.2,3.2,4.1,3.1,6.1,4.1,4.2,4.1,3.1,3.2,7.1,1.2,1.1,1.2,2.1,6.1,7.2,7.1,6.2,6.1,2.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,12,0
1.1,2.1,3.1,4.1,4.2,4.1,2.2,2.1,5.1,6.1,3.2,3.1,6.2,6.1,7.1,1.2,1.2,1.1,7.2,7.1,5.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,18,0
1.1,1.2,2.1,3.1,4.1,4.2,5.1,6.1,7.1,3.2,3.2,3.1,5.1,2.2,2.1,2.2,6.2,6.1,7.1,7.2,5.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,18,0
1.1,1.2,2.1,3.1,4.1,4.2,5.1,6.1,7.1,5.2,3.2,3.1,5.1,5.2,2.1,6.2,6.1,6.2,7.2,7.1,2.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,18,0
1.1,2.1,3.1,4.1,1.2,2.2,2.2,5.1,6.1,7.1,4.2,1.1,1.1,4.2,3.2,3.1,1.2,1.1,2.1,2.2,4.1,4.2,7.2,7.1,5.2,5.1,6.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,12,0
1.1,2.1,3.1,2.2,2.2,4.1,5.1,2.1,2.2,4.2,5.2,5.1,2.1,4.2,4.1,2.1,2.2,4.1,4.1,2.2,4.2,2.1,2.1,4.1,2.2,2.1,4.1,4.2,3.2,6.1,3.1,3.2,7.1,1.2,1.1,1.2,6.2,6.1,7.1,7.2,0,0,7,0,0
1.1,2.1,3.1,1.2,1.2,3.2,3.2,4.1,3.1,1.1,4.2,3.1,4.1,3.1,3.2,1.2,3.2,4.2,4.1,3.2,3.2,4.2,4.1,4.2,3.1,3.2,1.2,1.1,5.1,6.1,2.2,6.2,6.2,6.1,2.1,2.2,7.1,7.2,5.1,5.2,0,0,7,0,0
1.1,2.1,3.1,4.1,5.1,6.1,4.2,4.1,6.2,5.2,5.1,6.2,6.2,6.1,5.2,5.1,2.2,2.1,7.1,3.2,1.2,3.1,3.2,3.1,1.2,1.1,7.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,12,0
1.1,2.1,2.2,2.1,3.1,1.2,4.1,1.2,1.1,1.2,5.1,3.2,3.2,3.1,6.1,4.2,4.1,4.2,7.1,7.2,5.2,5.1,6.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,4.1,5.1,2.2,2.1,6.1,7.1,2.1,2.2,1.2,6.2,2.1,6.2,2.1,2.2,1.1,2.2,6.1,6.2,2.1,2.2,2.1,6.1,6.2,1.1,1.2,4.2,4.1,5.2,5.1,3.2,7.2,7.1,7.2,3.2,3.1,0.0,0.0,0,0,7,2,0
1.1,2.1,3.1,4.1,5.1,6.1,7.1,6.2,5.2,5.1,3.2,3.1,6.1,6.2,1.2,4.2,4.1,4.2,1.1,1.2,2.1,2.2,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,16,0
1.1,2.1,1.2,3.1,4.1,4.2,5.1,6.1,1.2,1.1,7.1,2.2,2.1,2.2,5.1,5.2,6.2,6.1,3.1,7.2,7.2,7.1,3.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,4.1,4.2,4.1,5.1,3.2,3.1,6.1,1.2,1.1,3.2,3.1,7.1,5.2,5.1,5.2,6.2,6.1,2.2,2.1,7.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,4.1,5.1,5.2,2.2,2.1,3.2,3.1,6.1,7.1,6.2,6.1,1.2,1.1,7.1,4.1,7.1,7.2,4.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,18,0
1.1,2.1,3.1,3.2,4.1,5.1,4.2,6.1,5.2,4.1,1.2,1.1,5.2,5.1,4.2,4.1,2.2,2.1,7.1,7.2,6.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,18,0
1.1,2.1,3.1,4.1,4.2,4.1,3.1,5.1,1.2,6.1,1.2,7.1,1.2,1.1,7.2,7.1,3.2,3.1,6.2,6.1,5.2,5.1,2.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,4.1,5.1,4.2,6.1,5.2,6.2,6.1,7.1,4.2,5.2,5.1,4.1,4.2,2.1,2.2,3.2,3.1,1.1,1.2,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,1.2,1.2,2.2,4.1,5.1,1.1,1.2,2.2,2.1,6.1,4.2,4.1,4.2,7.1,3.2,3.2,3.1,7.2,7.1,6.2,6.1,5.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,14,0
1.1,2.1,3.1,2.2,2.1,2.2,4.1,5.1,5.2,6.1,5.2,1.2,1.2,5.1,1.1,5.2,1.2,1.1,5.1,5.2,4.1,4.2,6.2,6.1,7.1,7.2,3.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,12,0
1.1,2.1,3.1,2.2,4.1,2.1,3.2,5.1,3.2,1.2,2.1,3.1,1.2,3.2,3.2,2.1,1.1,3.1,3.1,1.1,1.2,1.1,3.2,3.1,2.2,2.1,6.1,7.1,4.2,6.2,6.1,6.2,4.1,4.2,7.2,7.1,5.1,5.2,0.0,0.0,0,0,5,2,0
1.1,2.1,3.1,4.1,5.1,5.2,1.2,4.2,4.1,4.2,1.1,1.2,2.2,6.1,2.1,2.2,7.1,7.2,3.1,3.2,6.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,18,0
1.1,2.1,3.1,4.1,2.2,5.1,5.2,6.1,2.2,7.1,5.1,2.2,3.2,2.1,2.2,2.1,5.2,5.1,7.2,3.1,3.1,7.1,7.1,7.2,6.2,3.2,3.1,3.2,6.1,6.2,1.1,1.2,4.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,6,0
1.1,2.1,3.1,4.1,5.1,6.1,7.1,2.2,2.2,7.2,7.2,5.2,5.2,4.2,4.1,4.2,7.1,7.2,5.1,5.2,2.1,2.2,3.2,3.1,1.2,1.1,6.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,12,0
1.1,2.1,3.1,4.1,1.2,4.2,1.2,4.1,5.1,1.2,4.2,6.1,3.2,4.1,3.1,1.1,4.2,1.1,1.1,1.2,4.1,4.2,3.1,3.2,5.2,6.1,7.1,5.1,6.2,6.1,5.1,5.2,7.2,7.1,2.1,2.2,0.0,0.0,0.0,0.0,0,0,4,4,0
1.1,2.1,3.1,4.1,3.2,3.1,5.1,6.1,2.2,7.1,2.2,2.1,5.2,5.1,6.2,6.1,1.2,1.1,4.2,4.1,7.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,18,0
1.1,2.1,3.1,4.1,5.1,6.1,4.2,7.1,4.1,7.2,3.2,7.1,4.2,3.2,4.1,4.2,7.2,7.1,3.1,2.2,2.1,3.1,2.1,3.2,3.1,3.2,2.2,2.1,6.2,6.1,5.1,1.2,1.1,1.2,5.1,5.2,0.0,0.0,0.0,0.0,0,0,4,4,0
1.1,2.1,3.1,4.1,5.1,2.2,2.1,5.2,2.1,6.1,6.2,2.2,2.2,6.1,2.2,6.2,6.2,6.1,2.1,2.2,5.2,4.2,5.1,5.2,4.2,1.2,7.1,1.1,1.2,1.1,4.1,4.2,3.2,3.1,7.2,7.1,0.0,0.0,0.0,0.0,0,0,5,4,0
1.1,2.1,1.2,3.1,1.2,1.1,4.1,5.1,2.2,2.1,3.1,5.2,5.1,5.2,6.1,6.2,7.1,4.2,4.2,4.1,3.2,3.1,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,4.1,5.1,6.1,6.2,4.2,7.1,6.1,7.2,7.1,6.2,4.1,6.2,4.2,6.1,4.1,6.2,4.2,6.1,4.2,4.1,4.2,6.1,6.2,2.2,3.2,3.1,3.2,2.2,2.1,5.1,1.1,5.2,5.1,1.2,1.1,0.0,0.0,0,0,5,2,0
1.1,2.1,3.1,4.1,5.1,2.2,2.2,5.2,6.1,3.2,2.2,2.1,3.2,5.2,1.2,5.1,3.1,3.2,5.2,5.1,1.2,1.1,7.1,7.2,6.2,6.1,4.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,12,0
1.1,2.1,3.1,4.1,5.1,3.2,1.2,3.2,5.2,5.1,3.1,3.2,1.1,1.2,6.1,4.2,4.1,4.2,2.2,7.1,2.1,2.2,7.2,7.1,6.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,14,0
1.1,2.1,1.2,1.1,3.1,4.1,5.1,3.2,3.2,2.2,3.2,2.1,2.1,3.1,2.2,2.1,3.1,3.2,6.1,7.1,6.2,6.1,4.2,4.1,7.2,7.1,5.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,12,0
1.1,2.1,2.2,2.1,1.2,3.1,4.1,1.1,5.1,3.2,1.1,3.2,3.1,1.2,3.2,3.1,1.1,1.2,6.1,5.1,4.1,7.1,6.2,6.1,4.2,4.1,5.2,5.1,7.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,10,0
1.1,2.1,3.1,4.1,3.2,4.2,4.1,5.1,6.1,2.2,2.1,2.2,3.1,4.1,3.2,4.2,3.1,4.2,3.1,4.1,3.2,4.2,3.1,4.1,4.2,4.1,3.1,3.2,1.2,7.1,5.1,1.2,1.1,1.2,6.2,6.1,7.2,7.1,5.2,5.1,0,0,6,0,0
1.1,2.1,2.2,2.1,3.1,4.1,5.1,6.1,7.1,1.2,1.2,3.2,3.2,1.2,1.1,3.1,1.1,3.1,3.1,1.2,3.2,1.1,1.2,3.1,1.2,1.1,3.2,3.1,4.2,4.1,6.2,6.1,7.2,7.1,5.2,5.1,0.0,0.0,0.0,0.0,0,0,6,4,0
1.1,2.1,1.2,3.1,4.1,5.1,6.1,4.2,7.1,4.2,5.2,1.1,5.2,4.2,1.2,1.1,5.1,5.2,4.2,6.2,6.1,6.2,4.1,4.2,2.1,3.1,2.2,2.1,7.2,7.1,3.1,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,8,0
1.1,2.1,3.1,4.1,2.2,5.1,4.2,3.2,6.1,3.2,3.1,3.2,2.2,4.1,4.2,4.1,1.1,7.1,2.1,2.2,6.1,5.2,5.1,5.2,6.2,6.1,7.1,7.2,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,10,0
1.1,2.1,3.1,4.1,5.1,3.2,5.2,5.1,3.1,4.2,3.2,4.2,6.1,4.2,4.1,3.1,3.1,3.2,4.1,4.2,2.2,2.1,7.1,6.2,6.1,6.2,1.2,1.1,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,10,0
1.1,2.1,3.1,3.2,4.1,1.1,5.1,5.2,2.2,2.1,6.1,7.1,6.2,6.1,4.1,7.2,7.2,7.1,4.2,4.1,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,18,0
1.1,2.1,2.2,3.1,3.2,3.1,4.1,2.1,5.1,2.2,6.1,1.2,1.1,1.2,2.1,2.2,5.1,6.2,6.2,7.1,6.2,5.2,5.2,5.1,6.1,6.2,7.2,7.1,4.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,10,0
1.1,2.1,1.2,1.1,3.1,2.2,2.2,4.1,2.1,5.1,2.2,6.1,3.2,2.1,2.2,3.2,3.1,2.1,2.2,2.1,3.1,3.2,5.1,6.1,4.1,5.2,5.2,5.1,6.2,6.1,7.1,7.2,4.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,6,0
1.1,2.1,2.2,3.1,4.1,5.1,1.2,5.2,5.2,4.2,1.2,4.2,5.2,4.1,4.1,5.1,4.1,5.2,4.2,4.1,5.1,5.2,2.2,2.1,1.2,6.1,7.1,1.2,3.2,1.1,1.1,1.2,3.2,3.1,7.2,7.1,6.2,6.1,0.0,0.0,0,0,5,2,0
1.1,2.1,3.1,4.1,5.1,2.2,2.2,6.1,7.1,2.1,6.2,2.1,2.2,2.1,6.2,6.1,1.2,1.1,4.2,4.1,3.2,3.1,5.2,5.1,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,14,0
1.1,2.1,3.1,4.1,1.2,5.1,5.2,5.1,6.1,1.2,4.2,1.2,1.1,1.2,4.2,4.1,2.2,2.1,6.2,6.1,7.1,7.2,3.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,16,0
1.1,2.1,3.1,1.2,2.2,4.1,1.1,5.1,6.1,3.2,2.2,2.1,3.1,3.2,1.2,1.1,5.2,7.1,5.2,5.1,7.2,4.1,6.2,6.1,7.1,7.2,4.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,12,0
1.1,2.1,3.1,4.1,5.1,4.2,2.2,6.1,4.1,1.2,2.2,4.2,2.2,4.1,1.1,1.2,4.2,4.1,3.2,2.2,2.1,2.2,3.1,7.1,3.2,3.1,5.2,5.1,6.2,6.1,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,8,0
1.1,2.1,3.1,3.2,4.1,5.1,4.2,6.1,5.2,7.1,4.1,5.2,4.1,5.1,4.2,5.1,4.2,5.2,4.2,4.1,5.1,5.2,7.1,1.2,1.1,1.2,2.2,2.1,7.2,7.1,6.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0
1.1,2.1,3.1,4.1,1.2,5.1,2.2,1.1,1.1,1.2,2.2,2.1,6.1,6.2,7.1,5.2,3.2,5.2,5.1,5.2,4.2,3.1,3.2,3.1,4.2,4.1,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,12,0
1.1,2.1,3.1,4.1,5.1,3.2,1.2,1.1,6.1,3.2,7.1,3.1,7.2,7.1,3.2,3.1,6.1,2.2,2.1,2.2,4.1,5.2,5.1,5.2,4.2,4.1,6.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,12,0
1.1,2.1,3.1,4.1,1.2,5.1,6.1,2.2,1.1,7.1,2.1,1.2,3.2,3.1,1.1,2.2,1.2,2.2,1.2,2.1,2.1,1.1,1.2,2.2,1.1,1.2,2.1,2.2,7.2,7.1,5.2,5.1,4.1,4.2,6.2,6.1,0.0,0.0,0.0,0.0,0,0,6,4,0
1.1,2.1,3.1,2.2,2.1,2.2,4.1,5.1,3.2,3.1,6.1,6.2,1.2,4.2,4.1,4.2,1.2,1.1,7.1,7.2,5.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,18,0
1.1,2.1,3.1,3.2,2.2,2.1,4.1,5.1,6.1,6.2,7.1,1.1,5.1,7.2,7.1,7.2,4.1,1.2,1.1,1.2,4.2,4.1,5.2,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,2.2,2.2,4.1,3.2,5.1,5.2,3.1,3.2,3.1,5.2,2.2,5.1,2.1,5.1,2.2,2.2,2.1,5.2,5.1,1.1,6.1,7.1,7.2,4.1,4.2,1.2,1.1,6.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,8,0
1.1,2.1,2.2,3.1,2.1,2.2,1.2,1.1,4.1,5.1,5.2,5.1,6.1,4.2,4.1,4.2,3.1,7.1,6.1,3.2,3.2,3.1,7.2,7.1,6.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,14,0
1.1,2.1,3.1,1.2,4.1,5.1,2.2,1.1,6.1,4.2,2.2,1.2,4.1,2.2,4.1,1.2,1.1,1.2,4.2,4.1,5.2,5.1,2.1,2.2,7.1,7.2,6.1,6.2,3.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,10,0
1.1,2.1,3.1,4.1,3.2,1.2,1.1,5.1,6.1,7.1,1.1,3.2,5.2,1.2,3.1,1.1,1.1,5.1,1.2,1.1,3.2,3.1,5.2,5.1,2.2,4.2,2.2,2.1,4.1,4.2,7.1,6.2,6.1,6.2,7.2,7.1,0.0,0.0,0.0,0.0,0,0,6,4,0
1.1,1.2,2.1,3.1,3.2,4.1,3.2,5.1,6.1,6.2,3.1,3.2,7.1,2.1,5.2,5.1,7.2,7.1,4.1,2.2,2.1,2.2,4.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,16,0
1.1,2.1,3.1,4.1,5.1,6.1,1.1,7.1,3.2,4.2,3.1,7.2,4.2,7.1,7.2,3.1,4.2,4.1,7.2,7.1,3.2,3.1,1.2,5.2,5.1,5.2,1.1,1.2,2.1,2.2,6.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0
1.1,2.1,3.1,4.1,5.1,6.1,5.2,5.1,3.2,3.1,7.1,1.2,1.1,1.2,6.2,7.2,7.1,7.2,6.2,6.1,4.1,2.2,2.2,2.1,4.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,14,0
1.1,2.1,3.1,4.1,5.1,2.2,1.2,2.1,6.1,2.1,2.2,5.2,2.2,2.1,5.2,1.2,5.1,5.2,1.1,4.2,1.1,1.2,4.2,4.1,3.2,3.1,7.1,6.2,6.1,6.2,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0
1.1,2.1,3.1,4.1,5.1,6.1,1.2,6.2,1.1,6.1,6.1,3.2,1.1,1.2,6.2,6.1,3.2,5.2,3.2,5.1,3.1,3.2,5.1,5.2,4.2,4.1,7.1,2.2,2.1,2.2,7.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,8,0
1.1,2.1,3.1,4.1,5.1,6.1,7.1,3.2,2.2,3.1,5.2,3.1,3.1,6.2,3.2,3.1,6.2,6.1,2.2,2.1,5.1,5.2,4.2,4.1,1.2,1.1,7.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,12,0
